symbol,name,decimals,depositFee,depositConfirmations,depositStatus,withdrawalFee,withdrawalMinAmount,withdrawalStatus,networks,message
KAITO,Kaito,8,0,64,OK,0.0062,0.0062,OK,['BASE'],
KAS,Kaspa,8,0,120,OK,0.1,1,OK,['KAS'],
KAVA,Kava,3,0,64,MAINTENANCE,0.01,0.01,MAINTENANCE,['KAVA'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
KDA,Kadena,8,0,64,MAINTENANCE,0,0,MAINTENANCE,['KDA'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
KMD,Komodo,8,0,60,OK,0.02,0.02,OK,['KMD'],
KMNO,Kamino Finance,8,0,100,OK,1.2,1.2,OK,['SOL'],
KNC,Kyber Network,8,0,32,OK,2.2,2.2,OK,['ETH'],
KSM,Kusama,8,0,10,OK,0.01,0.01,OK,['KSM'],
LDO,Lido DAO,8,0,32,OK,0.68,0.68,OK,['ETH'],
LINA,Linear,8,0,32,OK,390,390,OK,['ETH'],
LINK,Chainlink,8,0,32,OK,0.049,0.049,OK,['ETH'],
LISTA,Lista DAO,8,0,32,OK,0.52,0.52,OK,['BSC'],
LMWR,LimeWire,8,0,32,OK,7.1,7.1,OK,['ETH'],
LPT,Livepeer,8,0,32,OK,0.13,0.13,OK,['ETH'],
LQTY,Liquity,8,0,32,OK,1.1,1.1,OK,['ETH'],
LRC,Loopring,8,0,32,OK,7,7,OK,['ETH'],
LSK,Lisk,8,0,32,OK,1.4,1.4,OK,['ETH'],
LTC,Litecoin,8,0,10,OK,0.001,0.001,OK,['LTC'],
LTO,LTO Network,8,0,32,OK,12,12,OK,['ETH'],
LUMIA,Lumia,8,0,64,MAINTENANCE,0.1,0.1,MAINTENANCE,['LUMIA'],This asset is currently in trading only mode. Asset deposits and withdrawals are not possible.
LUNA,Terra Classic,6,0,1,OK,100,100,OK,['LUNA'],
LUNA2,Terra 2.0,6,0,1,OK,0.05,0.05,OK,['LUNA2'],
LYX,LUKSO,8,0,64,MAINTENANCE,0,0,MAINTENANCE,['LYX'],
MAGIC,MAGIC,8,0,100,OK,1.3,1.3,OK,['ARB'],
MANA,Decentraland,8,0,32,OK,2.8,2.8,OK,['ETH'],
MANTA,Manta Network,4,0,64,OK,0.034,0.034,OK,['MANTA'],
MASK,Mask Network,8,0,32,OK,0.37,0.37,OK,['ETH'],
MAV,Maverick Protocol,8,0,64,OK,11,11,OK,['ETH'],
MAVIA,Heroes of Mavia,8,0,32,OK,5,5,OK,['ETH'],
