market,status,base,quote,pricePrecision,minOrderInBaseAsset,minOrderInQuoteAsset,maxOrderInBaseAsset,maxOrderInQuoteAsset,orderTypes
ICP-EUR,trading,ICP,EUR,5,0.41,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
GRT-EUR,trading,GRT,EUR,5,17.62,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
REZ-EUR,trading,REZ,EUR,5,31,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BLUR-EUR,trading,BLUR,EUR,5,5,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
EUROC-USDC,halted,EUROC,USDC,5,5,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
RARE-EUR,trading,RARE,EUR,5,30.16733335,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MOVR-EUR,trading,MOVR,EUR,5,0.22000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
JUP-EUR,trading,JUP,EUR,5,4.583,5.00,1000000000.000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CFG-EUR,trading,CFG,EUR,5,12,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SEI-USDC,trading,SEI,USDC,5,8.46023689,5.000000,1000000000.00000000,1000000000.000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PRIME-EUR,trading,PRIME,EUR,5,0.36,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
POLS-EUR,trading,POLS,EUR,5,5.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
AVAX-USDC,trading,AVAX,USDC,5,0.10820168,5.000000,1000000000.00000000,1000000000.000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CLV-EUR,trading,CLV,EUR,5,73,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SOL-EUR,trading,SOL,EUR,5,0.025249,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DOGE-USDC,trading,DOGE,USDC,5,12.65,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BLAST-EUR,trading,BLAST,EUR,5,650.36303754,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
GAS-EUR,trading,GAS,EUR,5,0.72,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MEME-EUR,trading,MEME,EUR,5,230,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
DOGS-EUR,trading,DOGS,EUR,5,4560.41077900,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
UMA-EUR,trading,UMA,EUR,5,1.24,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
KAIA-EUR,trading,KAIA,EUR,5,41.49377593,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CORE-EUR,trading,CORE,EUR,5,3.9433117,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
COTI-EUR,trading,COTI,EUR,5,30.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
WIF-USDC,trading,WIF,USDC,5,1.661130,5.000000,1000000000.000000,1000000000.000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ENS-EUR,trading,ENS,EUR,5,0.25,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SSV-EUR,trading,SSV,EUR,5,0.122702,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MANTA-EUR,trading,MANTA,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TRAC-EUR,trading,TRAC,EUR,5,5,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
KNC-EUR,trading,KNC,EUR,5,6.61,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
TAO-EUR,trading,TAO,EUR,5,0.009374,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PLUME-EUR,trading,PLUME,EUR,5,39.70807345,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MIOTA-EUR,trading,MIOTA,EUR,5,16.1,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LSK-EUR,trading,LSK,EUR,5,3.1,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
INJ-EUR,trading,INJ,EUR,5,0.13,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
YFI-EUR,trading,YFI,EUR,5,0.0006,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ZIL-EUR,trading,ZIL,EUR,5,168.00000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
GNO-EUR,trading,GNO,EUR,5,0.01000000,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BEL-EUR,trading,BEL,EUR,5,6,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
BCH-EUR,trading,BCH,EUR,5,0.01,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
WELL-EUR,trading,WELL,EUR,5,62.98296389,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
FET-USDC,trading,FET,USDC,5,4,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
SUSHI-EUR,trading,SUSHI,EUR,5,3.2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LDO-EUR,trading,LDO,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
VET-EUR,trading,VET,EUR,5,109,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
CHR-EUR,trading,CHR,EUR,5,10,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MTL-EUR,trading,MTL,EUR,5,2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ROSE-EUR,trading,ROSE,EUR,5,2.2,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PEPE-USDC,trading,PEPE,USDC,5,209489.03,5,10000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MORPHO-EUR,trading,MORPHO,EUR,5,3.79620515,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
ZEUS-EUR,trading,ZEUS,EUR,5,6.49319993,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
PENGU-EUR,trading,PENGU,EUR,5,7.29236942,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MAGIC-EUR,trading,MAGIC,EUR,5,4.09,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
MICHI-EUR,trading,MICHI,EUR,5,21.74720139,5.00,1000000000.00000000,1000000000.00,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
LYX-EUR,trading,LYX,EUR,5,0.8,5,1000000000,1000000000,"['market', 'limit', 'stopLoss', 'stopLossLimit', 'takeProfit', 'takeProfitLimit']"
